Date,Open,High,Low,Close,Adj Close**
"Apr 17, 2025",66.49,67.24,64.00,65.17,65.17
"Apr 16, 2025",66.84,69.14,66.11,68.17,68.17
"Apr 15, 2025",70.11,71.90,69.00,70.69,70.69
"Apr 14, 2025",70.11,72.30,69.70,70.10,70.10
"Apr 11, 2025",66.78,66.78,62.67,64.25,64.25
"Apr 10, 2025",74.34,74.55,65.18,65.18,65.18
"Apr 09, 2025",58.32,60.35,54.00,58.15,58.15
"Apr 08, 2025",63.99,68.90,63.35,65.50,65.50
"Apr 07, 2025",52.27,63.19,52.04,59.25,59.25
"Apr 04, 2025",73.56,73.75,63.61,65.87,65.87
"Apr 03, 2025",79.55,80.42,75.16,77.00,77.00
"Apr 02, 2025",87.14,88.20,84.52,88.20,88.20
"Apr 01, 2025",86.34,87.58,83.87,87.38,87.38
"Mar 31, 2025",82.84,83.89,80.92,83.75,83.75
"Mar 28, 2025",89.57,90.71,85.35,85.65,85.65
"Mar 27, 2025",91.56,92.46,89.79,91.41,91.41
"Mar 26, 2025",94.51,95.13,92.26,92.67,92.67
"Mar 25, 2025",93.94,95.00,93.65,94.13,94.13
"Mar 24, 2025",91.56,94.26,91.56,93.96,93.96
"Mar 21, 2025",88.85,89.04,86.32,88.37,88.37
"Mar 20, 2025",90.49,91.52,87.69,89.29,89.29
"Mar 19, 2025",86.42,89.05,86.30,88.74,88.74
"Mar 18, 2025",88.57,89.20,85.50,86.62,86.62
"Mar 17, 2025",86.30,89.06,86.20,87.79,87.79
"Mar 14, 2025",84.46,87.57,84.24,86.90,86.90
"Mar 13, 2025",84.87,86.60,83.19,83.82,83.82
"Mar 12, 2025",85.55,89.07,83.66,86.76,86.76
"Mar 11, 2025",87.40,88.18,83.68,84.76,84.76
"Mar 10, 2025",93.37,93.40,88.34,88.92,88.92
"Mar 07, 2025",94.27,94.92,90.86,91.07,91.07
"Mar 06, 2025",98.08,98.08,94.33,96.61,96.61
