"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2025","22,617.4","23,111.5","23,131.9","22,597.4","","-0.02%"
"04/11/2025","22,620.8","22,160.0","22,667.9","21,971.2","","1.89%"
"04/10/2025","22,201.4","22,543.4","22,645.6","21,536.9","","-4.18%"
"04/09/2025","23,171.0","20,715.9","23,278.6","20,674.5","","12.02%"
"04/08/2025","20,684.2","21,826.8","22,035.7","20,393.5","","-1.95%"
"04/07/2025","21,096.1","20,298.6","22,016.9","20,020.8","","0.19%"
"04/04/2025","21,056.2","21,811.9","21,893.1","21,044.2","","-6.07%"
"04/03/2025","22,416.1","22,721.9","22,876.7","22,393.7","","-5.40%"
"04/02/2025","23,696.6","23,213.3","23,848.5","23,182.8","","0.76%"
"04/01/2025","23,518.7","23,223.9","23,557.6","23,105.8","","0.82%"
"03/31/2025","23,327.5","22,988.8","23,373.0","22,747.6","","-0.01%"
"03/28/2025","23,329.9","23,858.7","23,899.8","23,281.7","","-2.61%"
"03/27/2025","23,955.2","23,974.6","24,202.9","23,884.5","","-0.59%"
"03/26/2025","24,098.4","24,488.1","24,525.8","24,015.6","","-1.83%"
"03/25/2025","24,547.1","24,436.6","24,552.4","24,397.4","","0.53%"
"03/24/2025","24,417.2","24,248.7","24,451.6","24,229.1","","2.16%"
"03/21/2025","23,901.2","23,553.3","23,918.1","23,484.0","","0.39%"
"03/20/2025","23,808.8","23,664.4","24,064.3","23,653.6","","-0.29%"
"03/19/2025","23,877.2","23,683.3","24,101.0","23,588.3","","1.30%"
"03/18/2025","23,570.4","23,780.6","23,803.5","23,466.0","","-1.66%"
"03/17/2025","23,968.0","23,796.8","24,127.2","23,738.5","","0.55%"
"03/14/2025","23,837.9","23,540.6","23,867.6","23,513.0","","2.51%"
"03/13/2025","23,254.3","23,627.9","23,657.2","23,166.1","","-1.89%"
"03/12/2025","23,701.3","23,782.8","23,894.9","23,434.3","","1.13%"
"03/11/2025","23,436.2","23,470.8","23,777.8","23,198.7","","-0.28%"
"03/10/2025","23,501.5","23,980.4","24,029.0","23,274.6","","-3.81%"
"03/07/2025","24,431.8","24,207.2","24,494.5","23,870.0","","0.76%"
"03/06/2025","24,247.4","24,464.0","24,756.2","24,145.8","","-2.78%"
"03/05/2025","24,941.7","24,621.0","25,014.5","24,402.6","","1.36%"
"03/04/2025","24,607.5","24,522.1","25,013.6","24,223.2","","-0.35%"
"03/03/2025","24,695.0","25,376.9","25,478.7","24,518.4","","-2.20%"
"02/28/2025","25,249.7","24,807.6","25,269.5","24,673.1","","1.64%"
"02/27/2025","24,843.4","25,726.3","25,777.8","24,831.0","","-2.75%"
"02/26/2025","25,546.6","25,592.1","25,809.7","25,401.2","","0.22%"
"02/25/2025","25,491.3","25,771.2","25,780.9","25,301.9","","-1.24%"
"02/24/2025","25,811.3","26,194.9","26,265.2","25,799.1","","-1.21%"
"02/21/2025","26,126.6","26,726.7","26,732.3","26,106.2","","-2.05%"
"02/20/2025","26,674.4","26,752.5","26,771.5","26,445.6","","-0.47%"
"02/19/2025","26,799.6","26,734.5","26,856.4","26,642.7","","0.05%"
"02/18/2025","26,786.3","26,800.1","26,818.7","26,623.1","","0.23%"
"02/14/2025","26,725.7","26,633.8","26,755.6","26,599.7","","0.39%"
