Date,Open,High,Low,Close,Adj Close**
"Apr 17, 2025",162.58,163.90,158.82,160.60,160.60
"Apr 16, 2025",163.30,167.14,161.94,165.22,165.22
"Apr 15, 2025",168.78,171.64,167.00,169.88,169.88
"Apr 14, 2025",167.86,172.20,167.66,168.20,168.20
"Apr 11, 2025",163.02,163.02,156.26,159.10,159.10
"Apr 10, 2025",175.24,175.48,160.96,160.96,160.96
"Apr 09, 2025",148.34,152.36,141.50,148.38,148.38
"Apr 08, 2025",158.28,167.54,157.94,161.82,161.82
"Apr 07, 2025",140.28,167.46,138.76,151.84,151.84
"Apr 04, 2025",172.84,173.30,158.10,161.06,161.06
"Apr 03, 2025",182.08,183.58,175.00,177.14,177.14
"Apr 02, 2025",194.68,195.64,190.40,195.30,195.30
"Apr 01, 2025",193.36,195.36,189.82,194.30,194.30
"Mar 31, 2025",187.92,189.66,185.20,189.66,189.66
"Mar 28, 2025",198.08,199.72,191.46,191.68,191.68
"Mar 27, 2025",201.10,202.15,198.02,200.80,200.80
"Mar 26, 2025",205.45,206.40,202.15,202.30,202.30
"Mar 25, 2025",204.40,205.80,203.85,204.25,204.25
"Mar 24, 2025",200.70,204.70,200.60,204.30,204.30
"Mar 21, 2025",196.44,196.48,192.82,195.86,195.86
"Mar 20, 2025",198.48,200.50,194.74,197.28,197.28
"Mar 19, 2025",192.26,196.48,192.26,195.60,195.60
"Mar 18, 2025",195.30,196.14,191.00,192.32,192.32
"Mar 17, 2025",192.28,196.18,191.88,194.44,194.44
"Mar 14, 2025",189.54,194.00,189.12,193.22,193.22
"Mar 13, 2025",190.08,192.66,187.76,188.68,188.68
"Mar 12, 2025",191.02,196.00,187.92,192.58,192.58
"Mar 11, 2025",193.62,194.68,188.00,189.74,189.74
"Mar 10, 2025",202.30,202.60,195.30,196.38,196.38
"Mar 07, 2025",203.85,204.30,198.64,198.64,198.64
"Mar 06, 2025",208.85,209.25,203.45,206.25,206.25
"Mar 05, 2025",211.25,212.00,204.65,204.65,204.65
"Mar 04, 2025",217.95,218.40,208.50,209.45,209.45
"Mar 03, 2025",228.30,228.75,223.75,224.15,224.15
"Feb 28, 2025",221.70,223.60,219.45,222.25,222.25
