Date,Open,High,Low,Close,Adj Close**
"Apr 17, 2025",396.31,398.06,390.00,391.70,391.70
"Apr 16, 2025",397.62,402.83,395.32,399.33,399.33
"Apr 15, 2025",406.44,410.17,404.44,408.12,408.12
"Apr 14, 2025",406.57,413.26,405.00,405.05,405.05
"Apr 11, 2025",400.86,400.86,388.50,394.50,394.50
"Apr 10, 2025",423.58,424.19,400.73,400.73,400.73
"Apr 09, 2025",379.15,386.47,370.00,380.34,380.34
"Apr 08, 2025",393.60,408.40,392.80,400.51,400.51
"Apr 07, 2025",364.61,399.72,363.80,386.21,386.21
"Apr 04, 2025",408.59,411.17,391.10,395.04,395.04
"Apr 03, 2025",420.81,423.20,408.68,413.19,413.19
"Apr 02, 2025",439.08,439.72,432.81,439.64,439.64
"Apr 01, 2025",436.10,439.28,432.00,438.71,438.71
"Mar 31, 2025",429.87,431.40,425.83,430.35,430.35
"Mar 28, 2025",446.27,448.61,435.80,436.64,436.64
"Mar 27, 2025",451.55,453.21,447.93,450.65,450.65
"Mar 26, 2025",459.12,459.78,453.00,453.48,453.48
"Mar 25, 2025",456.69,458.59,455.19,457.54,457.54
"Mar 24, 2025",450.64,456.54,450.50,456.09,456.09
"Mar 21, 2025",443.50,443.93,438.72,443.93,443.93
"Mar 20, 2025",445.97,448.93,440.81,444.10,444.10
"Mar 19, 2025",436.83,442.80,436.77,442.24,442.24
"Mar 18, 2025",441.61,442.71,434.70,436.68,436.68
"Mar 17, 2025",440.35,444.84,439.50,440.43,440.43
"Mar 14, 2025",436.88,442.43,435.72,440.93,440.93
"Mar 13, 2025",437.54,441.02,433.87,434.41,434.41
"Mar 12, 2025",436.59,443.86,435.00,441.31,440.89
"Mar 11, 2025",437.33,438.79,431.87,434.08,433.67
"Mar 10, 2025",453.06,453.20,440.00,441.46,441.04
"Mar 07, 2025",455.10,456.49,447.00,447.00,446.58
"Mar 06, 2025",464.33,464.76,456.62,460.29,459.85
"Mar 05, 2025",469.93,470.72,458.70,458.70,458.27
"Mar 04, 2025",476.70,477.29,466.50,467.66,467.22
"Mar 03, 2025",492.02,492.41,484.25,485.05,484.59
"Feb 28, 2025",484.24,486.83,480.00,485.09,484.63
"Feb 27, 2025",495.61,499.82,489.63,494.30,493.83
"Feb 26, 2025",494.51,496.86,493.00,496.45,495.98
"Feb 25, 2025",497.68,498.45,488.00,488.23,487.77
"Feb 24, 2025",505.83,508.15,499.90,502.72,502.24
"Feb 21, 2025",514.36,517.95,512.00,513.62,513.13
"Feb 20, 2025",517.93,518.87,512.18,513.82,513.33
