Date,Open,High,Low,Close,Adj Close**
"Apr 17, 2025",848.60,855.10,818.80,829.20,829.20
"Apr 16, 2025",850.40,874.00,841.80,860.80,860.80
"Apr 15, 2025",886.90,903.00,875.00,895.30,895.30
"Apr 14, 2025",892.80,915.60,883.50,884.20,884.20
"Apr 11, 2025",861.30,862.20,820.60,838.10,838.10
"Apr 10, 2025",931.30,931.90,850.10,850.10,850.10
"Apr 09, 2025",765.70,789.70,731.30,770.90,770.90
"Apr 08, 2025",816.90,870.60,815.00,845.00,845.00
"Apr 07, 2025",712.40,822.20,702.60,781.60,781.60
"Apr 04, 2025",891.60,899.30,807.90,828.70,828.70
"Apr 03, 2025",944.90,951.10,901.70,916.40,916.40
"Apr 02, 2025","1,010.20","1,020.80",985.50,"1,016.80","1,016.80"
"Apr 01, 2025",999.40,"1,013.80",980.00,"1,009.00","1,009.00"
"Mar 31, 2025",969.90,977.00,949.40,972.60,972.60
"Mar 28, 2025","1,045.00","1,053.20","1,000.00","1,003.40","1,003.40"
"Mar 27, 2025","1,066.40","1,076.60","1,051.40","1,066.40","1,066.40"
"Mar 26, 2025","1,108.40","1,109.20","1,076.20","1,079.80","1,079.80"
"Mar 25, 2025","1,094.60","1,106.60","1,089.60","1,100.80","1,100.80"
"Mar 24, 2025","1,076.40","1,095.40","1,073.00","1,094.20","1,094.20"
"Mar 21, 2025","1,039.20","1,040.00","1,016.00","1,039.00","1,039.00"
"Mar 20, 2025","1,054.60","1,062.20","1,026.20","1,043.20","1,043.20"
"Mar 19, 2025","1,014.40","1,041.00","1,013.80","1,035.40","1,035.40"
"Mar 18, 2025","1,041.20","1,045.00","1,007.00","1,016.80","1,016.80"
"Mar 17, 2025","1,028.80","1,052.60","1,026.20","1,034.20","1,034.20"
"Mar 14, 2025","1,012.00","1,039.00","1,009.80","1,035.00","1,035.00"
"Mar 13, 2025","1,016.40","1,033.00",998.90,"1,004.80","1,004.80"
"Mar 12, 2025","1,014.60","1,045.40","1,007.40","1,038.20","1,038.20"
"Mar 11, 2025","1,016.00","1,028.00",990.20,"1,004.20","1,004.20"
"Mar 10, 2025","1,088.00","1,088.00","1,024.00","1,031.80","1,031.80"
"Mar 07, 2025","1,096.00","1,099.20","1,061.40","1,061.40","1,061.40"
"Mar 06, 2025","1,142.20","1,142.20","1,106.00","1,123.60","1,123.60"
"Mar 05, 2025","1,152.60","1,160.20","1,110.40","1,110.40","1,110.40"
"Mar 04, 2025","1,167.20","1,172.20","1,120.00","1,130.00","1,130.00"
"Mar 03, 2025","1,234.00","1,243.00","1,206.80","1,213.80","1,213.80"
"Feb 28, 2025","1,197.40","1,210.40","1,174.60","1,202.40","1,202.40"
"Feb 27, 2025","1,262.40","1,280.60","1,224.60","1,249.20","1,249.20"
"Feb 26, 2025","1,261.60","1,272.80","1,251.20","1,271.00","1,271.00"
"Feb 25, 2025","1,273.20","1,279.00","1,230.20","1,230.20","1,230.20"
"Feb 24, 2025","1,319.80","1,327.40","1,285.60","1,303.40","1,303.40"
"Feb 21, 2025","1,365.40","1,380.40","1,348.40","1,355.00","1,355.00"
