Date,Open,High,Low,Close,Adj Close**
"Apr 17, 2025","18,369.90","18,401.05","18,144.46","18,258.09","18,258.09"
"Apr 16, 2025","18,475.76","18,597.32","17,995.96","18,257.64","18,257.64"
"Apr 15, 2025","18,831.98","19,004.17","18,754.87","18,830.23","18,830.23"
"Apr 14, 2025","19,095.49","19,115.15","18,614.76","18,796.02","18,796.02"
"Apr 11, 2025","18,309.29","18,728.95","18,153.32","18,690.05","18,690.05"
"Apr 10, 2025","18,626.11","18,710.58","17,794.50","18,343.57","18,343.57"
"Apr 09, 2025","17,116.53","19,234.02","17,082.36","19,145.06","19,145.06"
"Apr 08, 2025","18,034.46","18,207.01","16,850.18","17,090.40","17,090.40"
"Apr 07, 2025","16,771.77","18,191.50","16,542.20","17,430.68","17,430.68"
"Apr 04, 2025","18,022.16","18,089.25","17,387.83","17,397.70","17,397.70"
"Apr 03, 2025","18,774.15","18,902.07","18,502.97","18,521.47","18,521.47"
"Apr 02, 2025","19,182.39","19,707.34","19,157.20","19,581.78","19,581.78"
"Apr 01, 2025","19,192.77","19,468.62","19,095.17","19,436.42","19,436.42"
"Mar 31, 2025","18,998.54","19,316.06","18,799.20","19,278.45","19,278.45"
"Mar 28, 2025","19,718.46","19,752.45","19,241.54","19,281.40","19,281.40"
"Mar 27, 2025","19,814.61","20,003.36","19,740.22","19,798.62","19,798.62"
"Mar 26, 2025","20,239.04","20,270.19","19,848.49","19,916.99","19,916.99"
"Mar 25, 2025","20,196.50","20,292.19","20,164.07","20,287.83","20,287.83"
"Mar 24, 2025","20,041.21","20,208.84","20,024.97","20,180.45","20,180.45"
"Mar 21, 2025","19,466.44","19,767.98","19,409.18","19,753.97","19,753.97"
"Mar 20, 2025","19,558.28","19,888.85","19,549.31","19,677.61","19,677.61"
"Mar 19, 2025","19,576.32","19,921.62","19,497.79","19,736.66","19,736.66"
"Mar 18, 2025","19,657.10","19,676.05","19,397.08","19,483.36","19,483.36"
"Mar 17, 2025","19,670.69","19,943.81","19,622.47","19,812.24","19,812.24"
"Mar 14, 2025","19,458.89","19,729.21","19,436.04","19,704.64","19,704.64"
"Mar 13, 2025","19,534.37","19,558.56","19,152.57","19,225.48","19,225.48"
"Mar 12, 2025","19,663.39","19,756.09","19,375.25","19,596.02","19,596.02"
"Mar 11, 2025","19,405.52","19,659.43","19,180.56","19,376.96","19,376.96"
"Mar 10, 2025","19,826.96","19,867.08","19,243.31","19,430.95","19,430.95"
"Mar 07, 2025","20,015.62","20,253.22","19,736.81","20,201.37","20,201.37"
"Mar 06, 2025","20,231.74","20,473.41","19,968.56","20,052.63","20,052.63"
"Mar 05, 2025","20,363.22","20,688.72","20,182.57","20,628.46","20,628.46"
"Mar 04, 2025","20,281.88","20,688.46","20,034.68","20,352.53","20,352.53"
"Mar 03, 2025","20,989.58","21,073.80","20,279.50","20,425.58","20,425.58"
"Feb 28, 2025","20,518.65","20,900.77","20,407.45","20,884.41","20,884.41"
"Feb 27, 2025","21,281.36","21,323.91","20,540.68","20,550.95","20,550.95"
"Feb 26, 2025","21,170.51","21,350.52","21,012.62","21,132.92","21,132.92"
"Feb 25, 2025","21,318.77","21,326.81","20,930.58","21,087.25","21,087.25"
"Feb 24, 2025","21,669.36","21,727.58","21,341.96","21,352.08","21,352.08"
"Feb 21, 2025","22,110.54","22,115.21","21,597.16","21,614.08","21,614.08"
"Feb 20, 2025","22,132.71","22,148.44","21,878.75","22,068.06","22,068.06"
"Feb 19, 2025","22,121.73","22,222.61","22,045.75","22,175.60","22,175.60"
"Feb 18, 2025","22,176.01","22,191.37","22,029.58","22,164.61","22,164.61"
"Feb 14, 2025","22,038.61","22,139.43","22,010.35","22,114.69","22,114.69"
"Feb 13, 2025","21,786.16","22,038.15","21,758.04","22,030.71","22,030.71"
"Feb 12, 2025","21,475.41","21,745.66","21,454.19","21,719.26","21,719.26"
"Feb 11, 2025","21,629.11","21,776.25","21,625.51","21,693.52","21,693.52"
"Feb 10, 2025","21,670.06","21,793.13","21,645.17","21,756.73","21,756.73"
"Feb 07, 2025","21,776.28","21,869.32","21,465.46","21,491.31","21,491.31"
"Feb 06, 2025","21,674.17","21,776.08","21,618.25","21,774.07","21,774.07"
"Feb 05, 2025","21,453.87","21,662.98","21,408.64","21,658.16","21,658.16"
"Feb 04, 2025","21,319.58","21,582.40","21,308.24","21,566.92","21,566.92"
"Feb 03, 2025","21,084.64","21,406.58","21,004.35","21,297.58","21,297.58"
"Jan 31, 2025","21,661.56","21,846.01","21,425.79","21,478.05","21,478.05"
"Jan 30, 2025","21,519.81","21,623.45","21,308.69","21,508.12","21,508.12"
"Jan 29, 2025","21,473.01","21,477.88","21,251.80","21,411.46","21,411.46"
"Jan 28, 2025","21,186.08","21,500.73","21,043.13","21,463.04","21,463.04"
"Jan 27, 2025","21,000.17","21,292.54","20,974.90","21,127.28","21,127.28"
"Jan 24, 2025","21,915.48","21,945.48","21,709.06","21,774.01","21,774.01"
"Jan 23, 2025","21,737.24","21,900.93","21,722.04","21,900.93","21,900.93"
