Date,Open,High,Low,Close,Adj Close**
"Apr 17, 2025",78.69,78.91,76.70,77.64,77.64
"Apr 16, 2025",79.44,80.76,75.40,77.76,77.76
"Apr 15, 2025",82.92,84.30,82.06,82.73,82.73
"Apr 14, 2025",85.06,85.25,80.82,82.54,82.54
"Apr 11, 2025",78.12,81.93,76.88,81.41,81.41
"Apr 10, 2025",81.36,82.06,73.63,78.63,78.63
"Apr 09, 2025",69.13,86.50,69.10,85.63,85.63
"Apr 08, 2025",76.89,78.50,67.19,69.34,69.34
"Apr 07, 2025",66.71,78.50,64.72,72.02,72.02
"Apr 04, 2025",77.18,77.96,71.75,71.81,71.81
"Apr 03, 2025",83.98,85.37,81.59,81.80,81.80
"Apr 02, 2025",87.76,92.90,87.68,91.59,91.59
"Apr 01, 2025",88.24,90.62,87.16,90.27,90.27
"Mar 31, 2025",86.23,89.22,84.45,88.88,88.88
"Mar 28, 2025",93.15,93.40,88.56,88.94,88.94
"Mar 27, 2025",94.18,95.83,93.37,93.88,93.88
"Mar 26, 2025",98.18,98.49,94.37,95.01,95.01
"Mar 25, 2025",97.83,98.70,97.47,98.66,98.63
"Mar 24, 2025",96.43,97.87,96.17,97.50,97.47
"Mar 21, 2025",90.89,93.75,90.46,93.56,93.54
"Mar 20, 2025",91.96,94.96,91.71,92.90,92.88
"Mar 19, 2025",91.99,95.25,91.25,93.52,93.50
"Mar 18, 2025",93.07,93.07,90.30,91.20,91.18
"Mar 17, 2025",93.14,95.64,92.46,94.39,94.37
"Mar 14, 2025",90.93,93.51,90.71,93.19,93.17
"Mar 13, 2025",91.98,92.00,88.18,88.95,88.93
"Mar 12, 2025",93.13,93.85,90.31,92.33,92.31
"Mar 11, 2025",90.48,93.00,88.50,90.25,90.23
"Mar 10, 2025",95.00,95.19,89.09,90.91,90.89
"Mar 07, 2025",96.49,98.93,93.90,98.36,98.33
"Mar 06, 2025",99.19,101.20,96.15,97.02,96.99
"Mar 05, 2025",100.28,103.28,98.30,102.67,102.64
"Mar 04, 2025",99.51,103.35,96.88,100.05,100.02
"Mar 03, 2025",106.66,107.30,99.23,100.79,100.76
"Feb 28, 2025",102.01,105.52,100.72,105.29,105.26
"Feb 27, 2025",109.65,110.01,102.04,102.14,102.11
"Feb 26, 2025",108.57,110.27,106.80,108.10,108.07
"Feb 25, 2025",110.15,110.18,106.00,107.61,107.58
"Feb 24, 2025",113.89,114.35,110.29,110.41,110.38
"Feb 21, 2025",118.54,118.54,112.98,113.14,113.11
"Feb 20, 2025",118.75,118.91,115.99,118.06,118.03
"Feb 19, 2025",118.71,119.67,117.80,119.12,119.09
"Feb 18, 2025",119.26,119.36,117.61,119.06,119.03
"Feb 14, 2025",117.59,118.86,117.48,118.54,118.51
"Feb 13, 2025",115.11,117.77,114.75,117.64,117.61
"Feb 12, 2025",111.77,114.76,111.65,114.38,114.35
"Feb 11, 2025",113.37,115.08,113.33,114.25,114.22
"Feb 10, 2025",113.97,115.28,113.76,114.79,114.76
"Feb 07, 2025",115.29,116.11,111.81,112.15,112.12
"Feb 06, 2025",114.11,115.17,113.43,115.06,115.03
"Feb 05, 2025",111.75,113.99,111.23,113.91,113.88
"Feb 04, 2025",110.39,113.16,110.26,112.92,112.89
"Feb 03, 2025",108.25,111.39,107.18,110.23,110.20
"Jan 31, 2025",114.06,115.97,111.57,112.01,111.98
"Jan 30, 2025",112.72,113.70,110.35,112.41,112.38
"Jan 29, 2025",112.19,112.20,109.80,111.48,111.45
"Jan 28, 2025",109.14,112.41,107.68,111.93,111.90
"Jan 27, 2025",107.33,110.36,106.95,108.66,108.63
"Jan 24, 2025",116.96,117.30,114.83,115.49,115.46
"Jan 23, 2025",115.26,116.88,115.01,116.87,116.84
"Jan 22, 2025",115.51,117.37,115.42,116.36,116.33
"Jan 21, 2025",113.37,114.00,111.46,113.40,113.37
"Jan 17, 2025",112.74,112.91,111.00,112.19,112.16
"Jan 16, 2025",111.11,111.13,108.56,108.61,108.58
"Jan 15, 2025",108.62,110.62,107.98,110.08,110.05
"Jan 14, 2025",106.87,107.42,103.86,105.32,105.29
"Jan 13, 2025",103.66,105.72,103.09,105.57,105.54
"Jan 10, 2025",108.10,108.10,104.85,106.23,106.20
"Jan 08, 2025",109.69,110.44,107.75,109.73,109.70
"Jan 07, 2025",114.30,114.40,108.91,109.71,109.68
"Jan 06, 2025",113.58,115.25,112.74,113.81,113.78
"Jan 03, 2025",109.07,111.71,108.72,111.28,111.25
"Jan 02, 2025",109.54,110.50,105.90,107.76,107.73
"Dec 31, 2024",110.67,110.99,107.84,108.24,108.21
"Dec 30, 2024",110.09,111.77,108.52,110.13,110.10
"Dec 27, 2024",114.71,114.87,111.13,113.16,113.13
"Dec 26, 2024",115.77,117.06,114.88,116.33,116.30
"Dec 24, 2024",114.29,116.54,114.02,116.54,116.51
"Dec 23, 2024",112.03,113.62,110.58,113.48,113.45
"Dec 20, 2024",107.88,114.01,107.39,111.45,111.36
"Dec 19, 2024",112.54,112.78,109.39,109.51,109.42
"Dec 18, 2024",118.84,119.61,109.90,110.58,110.49
"Dec 17, 2024",119.42,119.91,118.44,119.18,119.08
"Dec 16, 2024",118.01,120.68,117.97,120.25,120.15
"Dec 13, 2024",116.86,118.03,115.50,116.88,116.79
"Dec 12, 2024",115.71,116.26,114.99,115.18,115.09
"Dec 11, 2024",114.56,117.01,114.42,116.71,116.62
"Dec 10, 2024",113.97,114.77,112.08,112.65,112.56
"Dec 09, 2024",114.84,115.21,112.98,113.48,113.39
"Dec 06, 2024",113.57,115.41,113.54,115.33,115.24
