Date,Open,High,Low,Close,Adj Close**
"Apr 17, 2025",123.23,125.02,117.09,119.00,119.00
"Apr 16, 2025",123.88,129.00,122.00,126.40,126.40
"Apr 15, 2025",131.33,135.77,129.14,133.56,133.56
"Apr 14, 2025",133.70,138.21,131.00,131.54,131.54
"Apr 11, 2025",126.22,126.58,117.67,121.47,121.47
"Apr 10, 2025",141.39,141.79,123.25,123.25,123.25
"Apr 09, 2025",107.08,112.40,99.08,107.47,107.47
"Apr 08, 2025",117.26,128.90,115.91,122.66,122.66
"Apr 07, 2025",93.08,122.00,92.74,108.62,108.62
"Apr 04, 2025",135.30,136.50,114.90,120.50,120.50
"Apr 03, 2025",146.58,149.21,136.96,141.51,141.51
"Apr 02, 2025",162.11,164.70,155.60,164.32,164.32
"Apr 01, 2025",158.78,162.90,153.57,162.16,162.16
"Mar 31, 2025",152.92,154.27,147.30,153.18,153.18
"Mar 28, 2025",170.19,172.98,159.56,160.22,160.22
"Mar 27, 2025",175.77,178.48,171.75,176.03,176.03
"Mar 26, 2025",186.28,186.68,178.00,179.03,179.03
"Mar 25, 2025",182.62,186.40,181.31,184.82,184.82
"Mar 24, 2025",177.43,183.29,177.43,182.51,182.51
"Mar 21, 2025",169.73,170.00,163.10,169.78,169.78
"Mar 20, 2025",173.84,176.00,166.50,169.68,169.68
"Mar 19, 2025",164.48,170.80,164.30,169.80,169.80
"Mar 18, 2025",171.16,172.50,162.07,165.38,165.38
"Mar 17, 2025",167.57,173.98,166.89,169.37,169.37
"Mar 14, 2025",163.44,170.30,163.01,168.46,168.46
"Mar 13, 2025",164.67,169.10,160.26,160.81,160.81
"Mar 12, 2025",164.93,172.69,162.65,169.78,169.78
"Mar 11, 2025",165.63,167.61,159.50,163.01,163.01
"Mar 10, 2025",182.49,182.70,166.88,169.68,169.68
"Mar 07, 2025",185.08,187.13,176.29,176.68,176.68
"Mar 06, 2025",196.50,196.50,187.60,192.51,192.51
"Mar 05, 2025",198.67,200.75,189.00,189.00,189.00
"Mar 04, 2025",201.16,202.70,188.22,191.68,191.68
"Mar 03, 2025",217.58,220.18,210.00,212.93,212.93
"Feb 28, 2025",207.52,211.79,202.20,209.05,209.05
"Feb 27, 2025",226.37,231.00,215.60,222.00,222.00
"Feb 26, 2025",226.07,229.48,223.50,228.80,228.80
"Feb 25, 2025",229.28,231.47,218.00,218.00,218.00
"Feb 24, 2025",241.60,244.09,232.00,236.96,236.96
"Feb 21, 2025",254.45,259.33,249.61,251.08,251.08
"Feb 20, 2025",256.85,259.00,249.70,252.99,252.99
"Feb 19, 2025",259.55,261.00,255.77,259.97,259.97
"Feb 18, 2025",261.50,262.50,255.97,257.58,257.58
"Feb 17, 2025",258.85,259.84,257.61,258.75,258.75
"Feb 14, 2025",255.79,256.10,252.70,254.61,254.61
"Feb 13, 2025",247.52,253.61,244.40,251.76,251.76
"Feb 12, 2025",247.08,248.24,237.61,242.27,242.27
"Feb 11, 2025",246.19,249.67,243.50,248.49,248.49
"Feb 10, 2025",244.08,251.19,244.00,250.16,250.16
"Feb 07, 2025",248.76,252.47,242.00,243.80,243.80
"Feb 06, 2025",246.14,248.90,244.17,246.55,246.55
"Feb 05, 2025",237.25,240.48,234.25,240.14,240.14
"Feb 04, 2025",235.08,243.00,232.38,242.94,242.94
"Feb 03, 2025",228.71,237.78,226.87,236.78,236.78
"Jan 31, 2025",245.68,252.26,245.30,250.07,250.07
"Jan 30, 2025",241.67,244.40,233.98,236.83,236.83
"Jan 29, 2025",241.87,242.53,234.65,235.99,235.99
"Jan 28, 2025",231.31,235.47,225.56,233.33,233.33
"Jan 27, 2025",229.00,232.24,209.87,225.64,225.64
"Jan 24, 2025",252.34,255.00,250.84,252.17,252.17
"Jan 23, 2025",251.01,252.70,249.15,252.60,252.60
"Jan 22, 2025",249.29,255.80,248.68,255.80,255.80
"Jan 21, 2025",242.10,245.94,238.90,241.47,241.47
"Jan 20, 2025",243.89,246.25,241.00,244.35,244.35
"Jan 17, 2025",233.55,246.40,232.94,244.07,244.07
"Jan 16, 2025",241.10,241.73,234.90,237.04,237.04
"Jan 15, 2025",221.53,236.28,221.23,234.10,234.10
"Jan 14, 2025",227.06,229.10,220.88,222.05,222.05
