Date,Open,High,Low,Close,Adj Close**
"Apr 17, 2025",447.17,447.75,441.36,444.10,444.10
"Apr 16, 2025",449.03,452.62,437.76,444.18,444.18
"Apr 15, 2025",458.54,462.38,456.15,457.99,457.99
"Apr 14, 2025",464.46,465.05,452.63,457.48,457.48
"Apr 11, 2025",444.65,455.79,441.33,454.40,454.40
"Apr 10, 2025",453.56,455.59,432.63,446.18,446.18
"Apr 09, 2025",415.57,467.83,415.43,466.00,466.00
"Apr 08, 2025",438.16,443.14,409.79,416.06,416.06
"Apr 07, 2025",408.66,443.14,402.39,423.69,423.69
"Apr 04, 2025",438.14,440.37,422.67,422.67,422.67
"Apr 03, 2025",456.44,460.07,450.14,450.66,450.66
"Apr 02, 2025",466.12,479.56,465.86,476.15,476.15
"Apr 01, 2025",467.30,473.63,464.42,472.70,472.70
"Mar 31, 2025",461.92,469.86,457.33,468.92,468.92
"Mar 28, 2025",479.81,480.52,468.05,468.94,468.94
"Mar 27, 2025",482.41,486.58,480.25,481.62,481.62
"Mar 26, 2025",492.30,493.16,482.82,484.38,484.38
"Mar 25, 2025",491.39,493.62,490.42,493.46,493.46
"Mar 24, 2025",487.74,491.51,484.40,490.66,490.66
"Mar 21, 2025",474.08,481.61,472.91,480.84,480.12
"Mar 20, 2025",476.88,484.55,476.18,479.26,478.55
"Mar 19, 2025",476.81,485.33,474.87,480.89,480.17
"Mar 18, 2025",479.41,479.61,472.41,474.54,473.83
"Mar 17, 2025",479.61,485.84,477.80,482.77,482.05
"Mar 14, 2025",473.73,480.56,473.12,479.66,478.95
"Mar 13, 2025",476.25,476.28,466.43,468.34,467.64
"Mar 12, 2025",479.16,481.06,471.79,476.92,476.21
"Mar 11, 2025",472.35,478.81,467.01,471.60,470.90
"Mar 10, 2025",483.45,483.97,468.66,472.73,472.03
"Mar 07, 2025",487.16,493.28,480.53,491.79,491.06
"Mar 06, 2025",493.69,498.58,486.20,488.20,487.47
"Mar 05, 2025",496.20,503.63,491.26,502.01,501.26
"Mar 04, 2025",494.18,503.74,487.74,495.55,494.81
"Mar 03, 2025",511.52,513.04,493.58,497.05,496.31
"Feb 28, 2025",500.13,508.78,496.93,508.17,507.41
"Feb 27, 2025",518.13,519.07,500.05,500.27,499.53
"Feb 26, 2025",515.53,519.66,511.37,514.56,513.79
"Feb 25, 2025",519.24,519.32,509.44,513.32,512.56
"Feb 24, 2025",527.88,529.07,519.53,519.87,519.10
"Feb 21, 2025",538.38,538.40,525.71,526.08,525.30
"Feb 20, 2025",538.73,539.10,532.46,537.23,536.43
"Feb 19, 2025",538.57,540.81,536.46,539.52,538.72
"Feb 18, 2025",539.73,540.00,536.04,539.37,538.57
"Feb 14, 2025",536.01,538.84,535.67,538.15,537.35
