Date,Open,High,Low,Close,Adj Close**
"Apr 17, 2025","5,305.45","5,328.31","5,255.58","5,282.70","5,282.70"
"Apr 16, 2025","5,335.75","5,367.24","5,220.79","5,275.70","5,275.70"
"Apr 15, 2025","5,411.99","5,450.41","5,386.44","5,396.63","5,396.63"
"Apr 14, 2025","5,441.96","5,459.46","5,358.02","5,405.97","5,405.97"
"Apr 11, 2025","5,255.56","5,381.46","5,220.77","5,363.36","5,363.36"
"Apr 10, 2025","5,353.15","5,353.15","5,115.27","5,268.05","5,268.05"
"Apr 09, 2025","4,965.28","5,481.34","4,948.43","5,456.90","5,456.90"
"Apr 08, 2025","5,193.57","5,267.47","4,910.42","4,982.77","4,982.77"
"Apr 07, 2025","4,953.79","5,246.57","4,835.04","5,062.25","5,062.25"
"Apr 04, 2025","5,292.14","5,292.14","5,069.90","5,074.08","5,074.08"
"Apr 03, 2025","5,492.74","5,499.53","5,390.83","5,396.52","5,396.52"
"Apr 02, 2025","5,580.76","5,695.31","5,571.48","5,670.97","5,670.97"
"Apr 01, 2025","5,597.53","5,650.57","5,558.52","5,633.07","5,633.07"
"Mar 31, 2025","5,527.91","5,627.56","5,488.73","5,611.85","5,611.85"
"Mar 28, 2025","5,679.20","5,685.89","5,572.42","5,580.94","5,580.94"
"Mar 27, 2025","5,695.64","5,732.28","5,670.94","5,693.31","5,693.31"
"Mar 26, 2025","5,771.66","5,783.62","5,694.41","5,712.20","5,712.20"
"Mar 25, 2025","5,775.96","5,786.95","5,760.42","5,776.65","5,776.65"
"Mar 24, 2025","5,718.08","5,775.14","5,718.08","5,767.57","5,767.57"
"Mar 21, 2025","5,630.73","5,670.84","5,603.10","5,667.56","5,667.56"
"Mar 20, 2025","5,646.92","5,711.15","5,632.33","5,662.89","5,662.89"
"Mar 19, 2025","5,632.37","5,715.33","5,622.20","5,675.29","5,675.29"
"Mar 18, 2025","5,654.53","5,654.53","5,597.76","5,614.66","5,614.66"
"Mar 17, 2025","5,635.60","5,703.52","5,631.12","5,675.12","5,675.12"
"Mar 14, 2025","5,563.85","5,645.27","5,563.85","5,638.94","5,638.94"
"Mar 13, 2025","5,594.45","5,597.78","5,504.65","5,521.52","5,521.52"
"Mar 12, 2025","5,624.84","5,642.19","5,546.09","5,599.30","5,599.30"
"Mar 11, 2025","5,603.65","5,636.30","5,528.41","5,572.07","5,572.07"
"Mar 10, 2025","5,705.37","5,705.37","5,564.02","5,614.56","5,614.56"
"Mar 07, 2025","5,726.01","5,783.01","5,666.29","5,770.20","5,770.20"
"Mar 06, 2025","5,785.87","5,812.08","5,711.64","5,738.52","5,738.52"
"Mar 05, 2025","5,781.36","5,860.59","5,742.35","5,842.63","5,842.63"
"Mar 04, 2025","5,811.98","5,865.08","5,732.59","5,778.15","5,778.15"
"Mar 03, 2025","5,968.33","5,986.09","5,810.91","5,849.72","5,849.72"
"Feb 28, 2025","5,856.74","5,959.40","5,837.66","5,954.50","5,954.50"
"Feb 27, 2025","5,981.88","5,993.69","5,858.78","5,861.57","5,861.57"
"Feb 26, 2025","5,970.87","6,009.82","5,932.69","5,956.06","5,956.06"
"Feb 25, 2025","5,982.73","5,992.65","5,908.49","5,955.25","5,955.25"
"Feb 24, 2025","6,026.69","6,043.65","5,977.83","5,983.25","5,983.25"
"Feb 21, 2025","6,114.10","6,114.82","6,008.56","6,013.13","6,013.13"
"Feb 20, 2025","6,134.50","6,134.50","6,084.59","6,117.52","6,117.52"
"Feb 19, 2025","6,117.76","6,147.43","6,111.15","6,144.15","6,144.15"
"Feb 18, 2025","6,121.60","6,129.63","6,099.51","6,129.58","6,129.58"
"Feb 14, 2025","6,115.52","6,127.47","6,107.62","6,114.63","6,114.63"
"Feb 13, 2025","6,060.59","6,116.91","6,050.95","6,115.07","6,115.07"
"Feb 12, 2025","6,025.08","6,063.00","6,003.00","6,051.97","6,051.97"
"Feb 11, 2025","6,049.32","6,076.28","6,042.34","6,068.50","6,068.50"
"Feb 10, 2025","6,046.40","6,073.38","6,044.84","6,066.44","6,066.44"
"Feb 07, 2025","6,083.13","6,101.28","6,019.96","6,025.99","6,025.99"
"Feb 06, 2025","6,072.22","6,084.03","6,046.83","6,083.57","6,083.57"
"Feb 05, 2025","6,020.45","6,062.86","6,007.06","6,061.48","6,061.48"
"Feb 04, 2025","5,998.14","6,042.48","5,990.87","6,037.88","6,037.88"
"Feb 03, 2025","5,969.65","6,022.13","5,923.93","5,994.57","5,994.57"
"Jan 31, 2025","6,096.79","6,120.91","6,030.93","6,040.53","6,040.53"
"Jan 30, 2025","6,050.75","6,086.64","6,027.46","6,071.17","6,071.17"
"Jan 29, 2025","6,057.70","6,062.83","6,012.96","6,039.31","6,039.31"
"Jan 28, 2025","6,026.97","6,074.54","5,994.63","6,067.70","6,067.70"
"Jan 27, 2025","5,969.04","6,017.17","5,962.92","6,012.28","6,012.28"
"Jan 24, 2025","6,121.43","6,128.18","6,088.74","6,101.24","6,101.24"
"Jan 23, 2025","6,076.32","6,118.73","6,074.67","6,118.71","6,118.71"
"Jan 22, 2025","6,081.39","6,100.81","6,076.13","6,086.37","6,086.37"
"Jan 21, 2025","6,014.12","6,051.51","6,006.88","6,049.24","6,049.24"
"Jan 17, 2025","5,995.40","6,014.96","5,978.44","5,996.66","5,996.66"
"Jan 16, 2025","5,963.61","5,964.69","5,930.72","5,937.34","5,937.34"
"Jan 15, 2025","5,905.21","5,960.61","5,905.21","5,949.91","5,949.91"
"Jan 14, 2025","5,859.27","5,871.92","5,805.42","5,842.91","5,842.91"
"Jan 13, 2025","5,782.02","5,838.61","5,773.31","5,836.22","5,836.22"
"Jan 10, 2025","5,890.35","5,890.35","5,807.78","5,827.04","5,827.04"
"Jan 08, 2025","5,910.66","5,927.89","5,874.78","5,918.25","5,918.25"
"Jan 07, 2025","5,993.26","6,000.68","5,890.68","5,909.03","5,909.03"
"Jan 06, 2025","5,982.81","6,021.04","5,960.01","5,975.38","5,975.38"
