Date,Open,High,Low,Close,Adj Close**
"Apr 17, 2025","11,692.53","11,742.78","11,583.08","11,642.40","11,642.40"
"Apr 16, 2025","11,759.13","11,827.58","11,505.84","11,626.79","11,626.79"
"Apr 15, 2025","11,926.82","12,010.69","11,871.22","11,892.99","11,892.99"
"Apr 14, 2025","11,991.74","12,029.28","11,806.79","11,912.45","11,912.45"
"Apr 11, 2025","11,580.99","11,858.40","11,509.35","11,818.53","11,818.53"
"Apr 10, 2025","11,795.70","11,795.70","11,271.61","11,608.22","11,608.22"
"Apr 09, 2025","10,939.13","12,075.81","10,902.01","12,022.21","12,022.21"
"Apr 08, 2025","11,441.91","11,603.31","10,819.23","10,977.50","10,977.50"
"Apr 07, 2025","10,913.62","11,557.06","10,652.02","11,152.56","11,152.56"
"Apr 04, 2025","11,658.81","11,658.81","11,171.84","11,178.48","11,178.48"
"Apr 03, 2025","12,099.10","12,113.65","11,875.00","11,887.15","11,887.15"
"Apr 02, 2025","12,292.38","12,544.57","12,272.08","12,491.10","12,491.10"
"Apr 01, 2025","12,328.97","12,445.63","12,243.51","12,407.26","12,407.26"
"Mar 31, 2025","12,175.35","12,394.18","12,089.05","12,360.21","12,360.21"
"Mar 28, 2025","12,507.24","12,521.84","12,272.99","12,290.86","12,290.86"
"Mar 27, 2025","12,543.06","12,623.74","12,490.14","12,537.93","12,537.93"
"Mar 26, 2025","12,710.41","12,736.55","12,540.62","12,579.48","12,579.48"
"Mar 25, 2025","12,719.90","12,743.79","12,685.78","12,721.41","12,721.41"
"Mar 24, 2025","12,591.94","12,717.59","12,591.94","12,700.91","12,700.91"
"Mar 21, 2025","12,399.48","12,487.21","12,338.81","12,480.59","12,480.59"
"Mar 20, 2025","12,434.79","12,575.93","12,404.03","12,469.97","12,469.97"
"Mar 19, 2025","12,401.25","12,583.90","12,378.85","12,495.74","12,495.74"
"Mar 18, 2025","12,449.94","12,449.94","12,324.96","12,362.16","12,362.16"
"Mar 17, 2025","12,407.81","12,557.36","12,397.94","12,494.82","12,494.82"
"Mar 14, 2025","12,249.00","12,428.12","12,249.00","12,414.28","12,414.28"
"Mar 13, 2025","12,313.85","12,320.63","12,116.31","12,153.33","12,153.33"
"Mar 12, 2025","12,379.70","12,417.81","12,207.99","12,323.50","12,323.50"
"Mar 11, 2025","12,332.81","12,403.81","12,168.24","12,263.31","12,263.31"
"Mar 10, 2025","12,556.51","12,556.51","12,245.47","12,356.69","12,356.69"
"Mar 07, 2025","12,599.68","12,724.50","12,468.97","12,696.90","12,696.90"
"Mar 06, 2025","12,729.49","12,787.14","12,566.59","12,625.31","12,625.31"
"Mar 05, 2025","12,719.20","12,893.51","12,635.17","12,853.99","12,853.99"
"Mar 04, 2025","12,786.29","12,903.09","12,612.83","12,711.86","12,711.86"
"Mar 03, 2025","13,129.87","13,168.72","12,784.13","12,868.95","12,868.95"
"Feb 28, 2025","12,883.18","13,107.59","12,841.65","13,098.22","13,098.22"
"Feb 27, 2025","13,156.81","13,182.77","12,887.20","12,892.20","12,892.20"
"Feb 26, 2025","13,132.48","13,217.65","13,048.59","13,099.91","13,099.91"
"Feb 25, 2025","13,158.29","13,178.67","12,996.34","13,097.85","13,097.85"
"Feb 24, 2025","13,254.76","13,292.06","13,148.63","13,159.21","13,159.21"
"Feb 21, 2025","13,446.51","13,448.00","13,214.50","13,224.45","13,224.45"
"Feb 20, 2025","13,490.87","13,490.87","13,382.36","13,453.54","13,453.54"
"Feb 19, 2025","13,452.25","13,517.32","13,438.02","13,510.29","13,510.29"
"Feb 18, 2025","13,460.47","13,478.13","13,412.18","13,478.02","13,478.02"
"Feb 14, 2025","13,445.05","13,471.01","13,427.68","13,443.10","13,443.10"
"Feb 13, 2025","13,321.19","13,444.90","13,300.48","13,440.93","13,440.93"
"Feb 12, 2025","13,243.01","13,326.30","13,195.15","13,302.10","13,302.10"
"Feb 11, 2025","13,294.84","13,354.08","13,284.75","13,337.00","13,337.00"
"Feb 10, 2025","13,288.11","13,347.24","13,285.10","13,332.15","13,332.15"
"Feb 07, 2025","13,366.87","13,406.71","13,228.19","13,241.34","13,241.34"
"Feb 06, 2025","13,342.03","13,367.67","13,286.46","13,366.96","13,366.96"
"Feb 05, 2025","13,228.29","13,320.05","13,199.55","13,318.43","13,318.43"
"Feb 04, 2025","13,179.13","13,276.56","13,163.82","13,266.45","13,266.45"
"Feb 03, 2025","13,116.48","13,231.44","13,016.45","13,171.21","13,171.21"
"Jan 31, 2025","13,394.99","13,447.65","13,250.63","13,271.38","13,271.38"
"Jan 30, 2025","13,292.97","13,371.62","13,242.11","13,337.85","13,337.85"
"Jan 29, 2025","13,308.05","13,318.19","13,209.76","13,267.65","13,267.65"
"Jan 28, 2025","13,240.47","13,344.95","13,169.76","13,329.95","13,329.95"
"Jan 27, 2025","13,113.22","13,217.92","13,104.50","13,208.19","13,208.19"
"Jan 24, 2025","13,447.86","13,462.37","13,376.22","13,403.51","13,403.51"
"Jan 23, 2025","13,347.49","13,440.65","13,344.48","13,440.61","13,440.61"
"Jan 22, 2025","13,358.43","13,400.49","13,346.88","13,369.36","13,369.36"
"Jan 21, 2025","13,210.44","13,292.15","13,196.25","13,287.58","13,287.58"
"Jan 17, 2025","13,168.98","13,211.86","13,132.86","13,171.75","13,171.75"
"Jan 16, 2025","13,098.88","13,101.27","13,026.66","13,041.19","13,041.19"
