Date,Open,High,Low,Close,Adj Close**
"Apr 17, 2025",527.64,531.17,523.91,526.41,526.41
"Apr 16, 2025",531.68,537.89,520.29,525.66,525.66
"Apr 15, 2025",539.67,543.23,536.81,537.61,537.61
"Apr 14, 2025",544.05,544.28,533.86,539.12,539.12
"Apr 11, 2025",523.01,536.43,520.07,533.94,533.94
"Apr 10, 2025",532.17,533.50,509.32,524.58,524.58
"Apr 09, 2025",493.44,548.62,493.05,548.62,548.62
"Apr 08, 2025",521.86,524.98,489.16,496.48,496.48
"Apr 07, 2025",489.19,523.17,481.80,504.38,504.38
"Apr 04, 2025",523.67,525.87,505.06,505.28,505.28
"Apr 03, 2025",545.11,547.97,536.70,536.70,536.70
"Apr 02, 2025",555.05,567.42,554.81,564.52,564.52
"Apr 01, 2025",557.45,562.94,553.68,560.97,560.97
"Mar 31, 2025",549.83,560.71,546.87,559.39,559.39
"Mar 28, 2025",565.53,566.27,555.07,555.66,555.66
"Mar 27, 2025",567.18,570.90,564.94,567.08,567.08
"Mar 26, 2025",575.19,576.33,567.19,568.59,568.59
"Mar 25, 2025",575.30,576.41,573.69,575.46,575.46
"Mar 24, 2025",570.80,575.15,570.20,574.08,574.08
"Mar 21, 2025",559.28,564.89,558.03,563.98,563.98
"Mar 20, 2025",563.33,570.57,562.60,565.49,563.79
"Mar 19, 2025",562.83,570.95,561.63,567.13,565.43
"Mar 18, 2025",564.80,565.02,559.06,561.02,559.34
"Mar 17, 2025",562.79,569.71,562.35,567.15,565.45
"Mar 14, 2025",556.11,563.83,551.49,562.81,561.12
"Mar 13, 2025",558.49,559.11,549.68,551.42,549.77
"Mar 12, 2025",562.17,563.11,553.69,558.87,557.19
"Mar 11, 2025",559.40,564.02,552.02,555.92,554.25
"Mar 10, 2025",567.59,569.54,555.59,560.58,558.90
"Mar 07, 2025",570.90,577.39,565.63,575.92,574.19
"Mar 06, 2025",575.48,580.17,570.12,572.71,570.99
"Mar 05, 2025",576.69,584.88,573.08,583.06,581.31
"Mar 04, 2025",579.71,585.39,572.25,576.86,575.13
"Mar 03, 2025",596.18,597.34,579.90,583.77,582.02
"Feb 28, 2025",585.56,594.72,582.44,594.18,592.40
"Feb 27, 2025",596.85,598.02,584.65,585.05,583.30
"Feb 26, 2025",595.93,599.58,591.86,594.54,592.76
"Feb 25, 2025",597.15,597.89,589.56,594.24,592.46
"Feb 24, 2025",602.02,603.03,596.49,597.21,595.42
"Feb 21, 2025",610.16,610.30,599.47,599.94,598.14
"Feb 20, 2025",611.54,611.68,607.02,610.38,608.55
"Feb 19, 2025",610.08,613.23,609.56,612.93,611.09
"Feb 18, 2025",610.88,611.49,608.38,611.49,609.66
"Feb 14, 2025",609.94,610.99,609.07,609.70,607.87
"Feb 13, 2025",604.48,609.94,603.20,609.73,607.90
"Feb 12, 2025",599.20,604.55,598.51,603.36,601.55
"Feb 11, 2025",602.55,605.86,602.43,605.31,603.49
"Feb 10, 2025",604.03,605.50,602.74,604.85,603.04
"Feb 07, 2025",606.89,608.13,600.05,600.77,598.97
"Feb 06, 2025",605.99,606.45,602.63,606.32,604.50
"Feb 05, 2025",600.64,604.37,598.58,604.22,602.41
"Feb 04, 2025",597.83,602.30,597.28,601.78,599.98
"Feb 03, 2025",592.67,600.29,590.49,597.77,595.98
"Jan 31, 2025",607.50,609.96,601.05,601.82,600.02
"Jan 30, 2025",603.96,606.60,600.72,605.04,603.23
"Jan 29, 2025",603.72,604.13,599.22,601.81,600.01
"Jan 28, 2025",600.62,605.37,597.25,604.52,602.71
"Jan 27, 2025",594.81,599.69,594.64,599.37,597.57
"Jan 24, 2025",609.81,610.78,606.80,607.97,606.15
"Jan 23, 2025",605.80,609.75,605.52,609.75,607.92
"Jan 22, 2025",605.92,607.82,605.36,606.44,604.62
"Jan 21, 2025",600.67,603.06,598.67,603.05,601.24
"Jan 17, 2025",596.96,599.36,595.61,597.58,595.79
"Jan 16, 2025",594.17,594.35,590.93,591.64,589.87
"Jan 15, 2025",590.33,593.94,589.20,592.78,591.00
"Jan 14, 2025",584.36,585.00,578.35,582.19,580.44
"Jan 13, 2025",575.77,581.75,575.35,581.39,579.65
"Jan 10, 2025",585.88,585.95,578.55,580.49,578.75
"Jan 08, 2025",588.70,590.58,585.20,589.49,587.72
"Jan 07, 2025",597.42,597.75,586.78,588.63,586.86
