Date,Open,High,Low,Close,Adj Close**
"Apr 17, 2025",498.12,500.28,491.77,494.92,494.92
"Apr 16, 2025",498.97,505.92,496.41,502.00,502.00
"Apr 15, 2025",508.60,513.62,504.92,510.50,510.50
"Apr 14, 2025",505.08,514.24,504.60,506.46,506.46
"Apr 11, 2025",499.65,499.78,485.33,492.63,492.63
"Apr 10, 2025",525.32,525.94,498.35,498.35,498.35
"Apr 09, 2025",479.79,486.89,467.75,479.34,479.34
"Apr 08, 2025",497.37,513.90,497.21,505.00,505.00
"Apr 07, 2025",467.71,509.86,465.00,487.44,487.44
"Apr 04, 2025",516.68,519.40,496.11,501.08,501.08
"Apr 03, 2025",531.90,535.00,518.30,523.30,523.30
"Apr 02, 2025",554.02,554.50,547.22,553.66,553.66
"Apr 01, 2025",552.16,554.96,546.82,553.82,553.82
"Mar 31, 2025",543.14,547.02,539.88,547.02,547.02
"Mar 28, 2025",558.98,561.84,548.58,549.04,549.04
"Mar 27, 2025",563.74,565.00,558.96,562.28,562.28
"Mar 26, 2025",569.00,570.76,564.20,565.00,565.00
"Mar 25, 2025",567.56,568.86,566.20,567.34,567.34
"Mar 24, 2025",560.96,567.72,560.54,567.14,567.14
"Mar 21, 2025",554.82,555.42,549.96,554.52,554.52
"Mar 20, 2025",556.80,561.14,552.00,556.20,556.20
"Mar 19, 2025",547.26,553.94,547.10,552.92,552.92
"Mar 18, 2025",550.50,552.44,544.40,546.32,546.32
"Mar 17, 2025",547.88,552.92,546.94,549.72,549.72
"Mar 14, 2025",544.48,550.50,542.28,549.00,549.00
"Mar 13, 2025",544.46,549.42,541.22,542.52,542.52
"Mar 12, 2025",544.90,552.00,540.20,547.16,547.16
"Mar 11, 2025",549.02,550.40,540.06,542.34,542.34
"Mar 10, 2025",562.88,563.10,552.32,553.88,553.88
"Mar 07, 2025",564.68,566.12,556.50,556.94,556.94
"Mar 06, 2025",572.22,572.76,563.58,568.46,568.46
"Mar 05, 2025",579.18,579.42,566.82,567.38,567.38
"Mar 04, 2025",592.56,593.24,578.72,580.42,580.42
"Mar 03, 2025",609.06,609.48,599.86,601.00,601.00
"Feb 28, 2025",600.12,602.94,596.50,601.12,601.12
"Feb 27, 2025",606.60,610.76,603.28,608.30,608.30
"Feb 26, 2025",604.94,608.60,603.90,606.64,606.64
"Feb 25, 2025",606.78,607.84,597.84,598.56,598.56
