Date,Open,High,Low,Close,Adj Close**
"Apr 17, 2025",106.48,106.48,106.48,106.48,106.48
"Apr 16, 2025",106.21,106.21,106.21,106.21,106.21
"Apr 15, 2025",111.19,111.19,111.19,111.19,111.19
"Apr 14, 2025",111.62,111.62,111.62,111.62,111.62
"Apr 11, 2025",109.86,109.86,109.86,109.86,109.86
"Apr 10, 2025",106.07,106.07,106.07,106.07,106.07
"Apr 09, 2025",114.30,114.30,114.30,114.30,114.30
"Apr 08, 2025",95.87,95.87,95.87,95.87,95.87
"Apr 07, 2025",98.98,98.98,98.98,98.98,98.98
"Apr 04, 2025",99.49,99.49,99.49,99.49,99.49
"Apr 03, 2025",112.95,112.95,112.95,112.95,112.95
"Apr 02, 2025",125.11,125.11,125.11,125.11,125.11
"Apr 01, 2025",123.48,123.48,123.48,123.48,123.48
"Mar 31, 2025",122.61,122.61,122.61,122.61,122.61
"Mar 28, 2025",121.27,121.27,121.27,121.27,121.27
"Mar 27, 2025",126.30,126.30,126.30,126.30,126.30
"Mar 26, 2025",127.15,127.15,127.15,127.15,127.15
"Mar 25, 2025",130.11,130.11,130.11,130.11,130.11
"Mar 24, 2025",129.68,129.68,129.68,129.68,129.68
"Mar 21, 2025",125.34,125.34,125.34,125.34,125.34
"Mar 20, 2025",125.16,125.16,125.16,125.16,125.16
"Mar 19, 2025",125.75,125.75,125.75,125.75,125.75
"Mar 18, 2025",123.11,123.11,123.11,123.11,123.11
"Mar 17, 2025",125.82,125.82,125.82,125.82,125.82
"Mar 14, 2025",124.22,124.22,124.22,124.22,124.22
"Mar 13, 2025",119.18,119.18,119.18,119.18,119.18
"Mar 12, 2025",122.57,122.57,122.57,122.57,122.57
"Mar 11, 2025",121.38,121.38,121.38,121.38,121.38
"Mar 10, 2025",123.29,123.29,123.29,123.29,123.29
"Mar 07, 2025",130.36,130.36,130.36,130.36,130.36
"Mar 06, 2025",128.93,128.93,128.93,128.93,128.93
"Mar 05, 2025",133.72,133.72,133.72,133.72,133.72
"Mar 04, 2025",130.85,130.85,130.85,130.85,130.85
"Mar 03, 2025",134.13,134.13,134.13,134.13,134.13
"Feb 28, 2025",139.06,139.06,139.06,139.06,139.06
"Feb 27, 2025",134.82,134.82,134.82,134.82,134.82
"Feb 26, 2025",139.27,139.27,139.27,139.27,139.27
"Feb 25, 2025",139.24,139.24,139.24,139.24,139.24
"Feb 24, 2025",140.61,140.61,140.61,140.61,140.61
"Feb 21, 2025",142.07,142.07,142.07,142.07,142.07
"Feb 20, 2025",147.12,147.12,147.12,147.12,147.12
"Feb 19, 2025",148.39,148.39,148.39,148.39,148.39
"Feb 18, 2025",147.71,147.71,147.71,147.71,147.71
"Feb 14, 2025",147.03,147.03,147.03,147.03,147.03
"Feb 13, 2025",147.04,147.04,147.04,147.04,147.04
"Feb 12, 2025",144.05,144.05,144.05,144.05,144.05
"Feb 11, 2025",144.87,144.87,144.87,144.87,144.87
"Feb 10, 2025",144.77,144.77,144.77,144.77,144.77
"Feb 07, 2025",142.89,142.89,142.89,142.89,142.89
"Feb 06, 2025",145.64,145.64,145.64,145.64,145.64
"Feb 05, 2025",144.63,144.63,144.63,144.63,144.63
"Feb 04, 2025",143.52,143.52,143.52,143.52,143.52
"Feb 03, 2025",141.53,141.53,141.53,141.53,141.53
"Jan 31, 2025",143.73,143.73,143.73,143.73,143.73
"Jan 30, 2025",145.23,145.23,145.23,145.23,145.23
"Jan 29, 2025",143.74,143.74,143.74,143.74,143.74
"Jan 28, 2025",145.11,145.11,145.11,145.11,145.11
"Jan 27, 2025",142.57,142.57,142.57,142.57,142.57
"Jan 24, 2025",146.89,146.89,146.89,146.89,146.89
"Jan 23, 2025",147.74,147.74,147.74,147.74,147.74
"Jan 22, 2025",146.20,146.20,146.20,146.20,146.20
"Jan 21, 2025",144.48,144.48,144.48,144.48,144.48
"Jan 17, 2025",142.05,142.05,142.05,142.05,142.05
"Jan 16, 2025",139.29,139.29,139.29,139.29,139.29
"Jan 15, 2025",139.90,139.90,139.90,139.90,139.90
"Jan 14, 2025",134.97,134.97,134.97,134.97,134.97
"Jan 13, 2025",134.67,134.67,134.67,134.67,134.67
"Jan 10, 2025",134.32,134.32,134.32,134.32,134.32
"Jan 08, 2025",138.59,138.59,138.59,138.59,138.59
"Jan 07, 2025",138.20,138.20,138.20,138.20,138.20
"Jan 06, 2025",141.36,141.36,141.36,141.36,141.36
"Jan 03, 2025",139.86,139.86,139.86,139.86,139.86
"Jan 02, 2025",136.44,136.44,136.44,136.44,136.44
"Dec 31, 2024",137.12,137.12,137.12,137.12,137.12
"Dec 30, 2024",138.26,138.26,138.26,138.26,138.26
"Dec 27, 2024",141.40,141.40,141.40,141.40,141.40
"Dec 26, 2024",147.98,147.98,147.98,147.98,144.66
"Dec 24, 2024",148.10,148.10,148.10,148.10,144.78
"Dec 23, 2024",144.92,144.92,144.92,144.92,141.67
"Dec 20, 2024",139.97,139.97,139.97,139.97,136.83
"Dec 19, 2024",139.97,139.97,139.97,139.97,136.83
"Dec 18, 2024",140.22,140.22,140.22,140.22,137.08
"Dec 17, 2024",149.06,149.06,149.06,149.06,145.72
"Dec 16, 2024",150.27,150.27,150.27,150.27,146.90
"Dec 13, 2024",149.14,149.14,149.14,149.14,145.80
"Dec 12, 2024",149.16,149.16,149.16,149.16,145.82
"Dec 11, 2024",150.81,150.81,150.81,150.81,147.43
"Dec 10, 2024",148.44,148.44,148.44,148.44,145.11
"Dec 09, 2024",149.36,149.36,149.36,149.36,146.01
"Dec 06, 2024",151.18,151.18,151.18,151.18,147.79
"Dec 05, 2024",150.48,150.48,150.48,150.48,147.11
"Dec 04, 2024",151.04,151.04,151.04,151.04,147.65
"Dec 03, 2024",149.25,149.25,149.25,149.25,145.90
"Dec 02, 2024",149.14,149.14,149.14,149.14,145.80
"Nov 29, 2024",146.87,146.87,146.87,146.87,143.58
"Nov 27, 2024",146.87,146.87,146.87,146.87,143.58
"Nov 26, 2024",147.97,147.97,147.97,147.97,144.65
"Nov 25, 2024",146.34,146.34,146.34,146.34,143.06
"Nov 22, 2024",144.57,144.57,144.57,144.57,141.33
"Nov 21, 2024",144.57,144.57,144.57,144.57,141.33
"Nov 20, 2024",143.03,143.03,143.03,143.03,139.82
"Nov 19, 2024",143.03,143.03,143.03,143.03,139.82
"Nov 18, 2024",141.96,141.96,141.96,141.96,138.78
"Nov 15, 2024",140.89,140.89,140.89,140.89,137.73
"Nov 14, 2024",144.70,144.70,144.70,144.70,141.46
"Nov 13, 2024",146.50,146.50,146.50,146.50,143.22
"Nov 12, 2024",146.43,146.43,146.43,146.43,143.15
"Nov 11, 2024",147.31,147.31,147.31,147.31,144.01
"Nov 08, 2024",147.10,147.10,147.10,147.10,143.80
"Nov 07, 2024",145.96,145.96,145.96,145.96,142.69
"Nov 06, 2024",143.82,143.82,143.82,143.82,140.60
"Nov 05, 2024",136.95,136.95,136.95,136.95,133.88
"Nov 04, 2024",133.71,133.71,133.71,133.71,130.71
"Nov 01, 2024",134.49,134.49,134.49,134.49,131.47
