Date,Open,High,Low,Close,Adj Close**
"Apr 17, 2025",58.67,59.86,57.45,58.28,58.28
"Apr 16, 2025",60.19,61.37,56.25,58.12,58.12
"Apr 15, 2025",63.00,64.23,61.98,62.29,62.29
"Apr 14, 2025",64.53,64.60,61.03,62.78,62.78
"Apr 11, 2025",57.45,61.91,56.47,61.08,61.08
"Apr 10, 2025",60.72,61.20,52.63,58.03,58.03
"Apr 09, 2025",49.54,65.68,49.41,64.81,64.81
"Apr 08, 2025",58.53,59.48,48.22,50.65,50.65
"Apr 07, 2025",48.17,58.94,45.88,53.05,53.05
"Apr 04, 2025",59.97,60.76,53.28,53.82,53.82
"Apr 03, 2025",68.13,69.28,64.83,65.13,65.13
"Apr 02, 2025",72.24,77.15,72.12,76.03,76.03
"Apr 01, 2025",73.20,75.39,71.72,74.62,74.62
"Mar 31, 2025",70.26,74.51,69.11,73.90,73.90
"Mar 28, 2025",76.61,76.90,72.34,72.64,72.64
"Mar 27, 2025",77.38,78.86,76.42,77.28,77.28
"Mar 26, 2025",80.71,81.16,77.36,78.01,78.01
"Mar 25, 2025",81.01,81.46,80.32,81.00,80.81
"Mar 24, 2025",79.20,80.93,78.92,80.47,80.28
"Mar 21, 2025",74.52,76.77,73.98,76.50,76.32
"Mar 20, 2025",75.50,78.48,75.25,76.50,76.32
"Mar 19, 2025",75.39,78.61,74.90,77.06,76.88
"Mar 18, 2025",76.22,76.31,73.90,74.73,74.56
"Mar 17, 2025",75.43,78.25,75.29,77.18,77.00
"Mar 14, 2025",72.92,75.88,72.65,75.48,75.30
"Mar 13, 2025",73.97,74.22,70.46,71.19,71.02
"Mar 12, 2025",75.44,75.81,72.10,74.15,73.98
"Mar 11, 2025",74.39,75.76,71.46,73.08,72.91
"Mar 10, 2025",77.87,78.71,72.78,74.96,74.79
"Mar 07, 2025",79.34,82.05,77.17,81.39,81.20
"Mar 06, 2025",81.39,83.40,79.03,80.21,80.02
"Mar 05, 2025",81.98,85.48,80.44,84.67,84.47
"Mar 04, 2025",83.33,85.81,80.06,82.10,81.91
"Mar 03, 2025",90.76,91.30,83.40,85.25,85.05
"Feb 28, 2025",86.09,90.12,84.72,89.85,89.64
"Feb 27, 2025",91.36,91.86,85.78,85.95,85.75
"Feb 26, 2025",90.94,92.61,89.10,90.26,90.05
"Feb 25, 2025",91.56,91.88,88.05,90.16,89.95
"Feb 24, 2025",93.81,94.30,91.27,91.61,91.40
"Feb 21, 2025",97.84,97.87,92.68,92.95,92.73
"Feb 20, 2025",98.59,98.65,96.38,98.02,97.79
"Feb 19, 2025",97.92,99.44,97.67,99.29,99.06
"Feb 18, 2025",98.34,98.62,97.15,98.56,98.33
"Feb 14, 2025",97.94,98.41,97.48,97.81,97.58
"Feb 13, 2025",95.45,98.02,94.86,97.92,97.69
"Feb 12, 2025",92.96,95.51,92.67,94.96,94.74
"Feb 11, 2025",94.59,96.16,94.54,95.85,95.63
"Feb 10, 2025",95.33,96.01,94.72,95.65,95.43
"Feb 07, 2025",96.77,97.35,93.49,93.84,93.62
"Feb 06, 2025",96.40,96.63,94.82,96.57,96.35
"Feb 05, 2025",93.93,95.67,92.95,95.58,95.36
"Feb 04, 2025",92.61,94.73,92.40,94.48,94.26
"Feb 03, 2025",90.28,93.82,89.22,92.61,92.40
"Jan 31, 2025",97.30,98.48,94.21,94.57,94.35
"Jan 30, 2025",95.73,96.95,94.18,96.20,95.98
"Jan 29, 2025",95.63,95.83,93.49,94.69,94.47
"Jan 28, 2025",94.22,96.45,92.65,96.01,95.79
"Jan 27, 2025",91.46,93.82,91.36,93.67,93.45
"Jan 24, 2025",98.76,99.22,97.29,97.84,97.61
"Jan 23, 2025",96.89,98.78,96.76,98.77,98.54
"Jan 22, 2025",97.00,97.89,96.77,97.18,96.95
"Jan 21, 2025",94.57,95.62,93.62,95.53,95.31
"Jan 17, 2025",92.83,93.94,92.23,93.10,92.88
"Jan 16, 2025",91.68,91.76,90.19,90.55,90.34
"Jan 15, 2025",89.99,91.58,89.47,91.07,90.86
"Jan 14, 2025",87.35,87.63,84.70,86.36,86.16
"Jan 13, 2025",83.56,86.21,83.36,86.11,85.91
"Jan 10, 2025",88.14,88.17,84.79,85.70,85.50
"Jan 08, 2025",89.52,90.36,87.91,89.84,89.63
"Jan 07, 2025",93.66,93.79,88.66,89.60,89.39
"Jan 06, 2025",93.10,94.72,91.89,92.70,92.48
"Jan 03, 2025",89.20,91.45,88.69,91.12,90.91
"Jan 02, 2025",90.07,90.89,86.09,87.90,87.70
"Dec 31, 2024",90.39,90.71,87.89,88.64,88.43
"Dec 30, 2024",89.50,91.31,87.89,89.66,89.45
"Dec 27, 2024",94.08,94.21,90.85,92.91,92.69
"Dec 26, 2024",95.11,96.54,94.46,95.97,95.75
"Dec 24, 2024",93.55,96.02,93.28,95.98,95.76
"Dec 23, 2024",91.22,93.26,89.73,93.01,92.79
"Dec 20, 2024",87.35,93.70,86.98,91.48,91.01
"Dec 19, 2024",90.90,91.65,88.43,88.54,88.09
"Dec 18, 2024",97.21,98.40,88.43,88.74,88.29
"Dec 17, 2024",97.35,97.81,96.71,97.37,96.87
"Dec 16, 2024",98.24,99.12,97.89,98.63,98.13
"Dec 13, 2024",98.47,98.85,96.75,97.46,96.96
"Dec 12, 2024",98.68,98.95,97.58,97.60,97.10
"Dec 11, 2024",98.32,99.61,98.18,99.18,98.67
"Dec 10, 2024",98.16,98.34,96.60,96.94,96.45
"Dec 09, 2024",99.34,99.43,97.57,97.86,97.36
"Dec 06, 2024",99.25,100.06,99.05,99.48,98.97
"Dec 05, 2024",99.44,99.86,98.79,98.96,98.46
"Dec 04, 2024",98.49,99.58,98.18,99.44,98.93
"Dec 03, 2024",97.48,97.81,96.95,97.67,97.17
"Dec 02, 2024",97.28,97.91,97.03,97.62,97.12
"Nov 29, 2024",95.69,97.47,95.59,97.05,96.55
"Nov 27, 2024",96.21,96.37,94.66,95.39,94.90
"Nov 26, 2024",95.45,96.67,95.14,96.38,95.89
"Nov 25, 2024",95.83,96.47,93.77,94.86,94.38
"Nov 22, 2024",93.10,94.26,92.87,93.94,93.46
"Nov 21, 2024",93.07,93.85,90.29,93.17,92.69
"Nov 20, 2024",91.70,91.86,88.99,91.75,91.28
"Nov 19, 2024",89.08,92.01,88.78,91.70,91.23
"Nov 18, 2024",89.83,91.32,89.41,90.71,90.25
"Nov 15, 2024",91.53,91.74,88.73,89.62,89.16
"Nov 14, 2024",95.20,95.44,92.97,93.30,92.82
"Nov 13, 2024",95.24,96.15,94.11,95.17,94.68
"Nov 12, 2024",95.93,96.21,93.84,95.05,94.57
"Nov 11, 2024",96.53,96.66,95.15,95.98,95.49
"Nov 08, 2024",94.76,96.40,94.76,95.78,95.29
"Nov 07, 2024",93.44,95.08,93.38,94.58,94.10
"Nov 06, 2024",91.67,92.89,89.97,92.50,92.03
"Nov 05, 2024",83.52,86.10,83.41,86.09,85.65
"Nov 04, 2024",83.71,84.29,82.27,83.09,82.67
"Nov 01, 2024",83.80,85.64,83.49,83.66,83.23
"Oct 31, 2024",85.86,85.89,82.62,82.66,82.24
"Oct 30, 2024",88.51,89.42,87.57,87.90,87.45
"Oct 29, 2024",87.86,89.26,87.21,88.71,88.26
"Oct 28, 2024",89.12,89.14,88.20,88.33,87.88
"Oct 25, 2024",88.69,90.02,87.12,87.54,87.09
"Oct 24, 2024",88.09,88.10,86.54,87.71,87.26
"Oct 23, 2024",88.69,88.90,85.53,87.17,86.73
"Oct 22, 2024",88.63,90.21,88.33,89.69,89.23
"Oct 21, 2024",89.98,90.42,88.46,89.88,89.42
"Oct 18, 2024",90.11,90.70,89.42,90.31,89.85
"Oct 17, 2024",91.04,91.12,89.31,89.39,88.93
"Oct 16, 2024",88.24,89.62,87.88,89.37,88.91
"Oct 15, 2024",90.50,90.65,87.71,88.29,87.84
"Oct 14, 2024",88.99,90.82,88.83,90.39,89.93
"Oct 11, 2024",86.65,88.57,86.60,88.22,87.77
"Oct 10, 2024",86.66,87.44,86.05,86.79,86.35
"Oct 09, 2024",85.50,87.54,85.24,87.27,86.82
"Oct 08, 2024",84.30,85.78,83.93,85.53,85.09
"Oct 07, 2024",84.77,85.06,82.67,83.22,82.80
"Oct 04, 2024",85.27,85.71,83.43,85.52,85.08
"Oct 03, 2024",83.17,84.23,82.33,83.34,82.91
"Oct 02, 2024",83.33,84.30,82.25,83.81,83.38
"Oct 01, 2024",85.91,85.93,82.58,83.80,83.37
"Sep 30, 2024",84.61,86.37,83.58,86.19,85.75
"Sep 27, 2024",85.98,86.35,84.66,85.09,84.66
"Sep 26, 2024",86.51,86.63,84.49,85.57,85.13
"Sep 25, 2024",85.09,85.41,84.07,84.55,84.12
"Sep 24, 2024",85.02,85.42,83.75,85.39,84.74
"Sep 23, 2024",84.55,84.99,84.01,84.67,84.02
"Sep 20, 2024",83.95,84.56,82.73,84.02,83.38
"Sep 19, 2024",84.63,85.42,83.38,84.59,83.94
"Sep 18, 2024",81.53,83.67,80.28,80.50,79.88
"Sep 17, 2024",82.15,82.79,80.28,81.28,80.66
"Sep 16, 2024",80.71,81.30,79.93,81.21,80.59
"Sep 13, 2024",79.88,81.29,79.77,80.83,80.21
"Sep 12, 2024",77.99,79.81,77.02,79.66,79.05
"Sep 11, 2024",75.40,78.14,71.77,77.70,77.10
"Sep 10, 2024",75.26,75.60,73.24,75.43,74.85
"Sep 09, 2024",73.81,75.01,73.00,74.48,73.91
"Sep 06, 2024",76.09,76.77,71.72,72.12,71.57
"Sep 05, 2024",76.54,77.77,74.97,76.01,75.43
"Sep 04, 2024",76.29,78.06,76.00,76.57,75.98
"Sep 03, 2024",80.79,80.95,76.00,77.14,76.55
"Aug 30, 2024",80.99,82.45,79.43,82.20,81.57
"Aug 29, 2024",80.90,82.34,79.56,80.03,79.42
"Aug 28, 2024",81.36,81.53,78.64,80.07,79.46
"Aug 27, 2024",80.61,81.73,80.13,81.51,80.89
"Aug 26, 2024",82.24,82.57,80.47,81.17,80.55
"Aug 23, 2024",80.75,82.24,79.77,81.81,81.18
"Aug 22, 2024",82.16,82.42,78.85,79.38,78.77
"Aug 21, 2024",80.94,81.97,80.19,81.36,80.74
"Aug 20, 2024",80.72,81.46,79.93,80.49,79.87
"Aug 19, 2024",78.87,80.93,78.52,80.93,80.31
"Aug 16, 2024",77.50,79.01,77.43,78.67,78.07
"Aug 15, 2024",76.78,78.38,76.57,78.26,77.66
"Aug 14, 2024",74.14,74.96,72.97,74.48,73.91
"Aug 13, 2024",71.63,73.88,71.53,73.77,73.20
"Aug 12, 2024",70.70,71.32,69.43,70.32,69.78
"Aug 09, 2024",69.02,70.85,68.53,70.24,69.70
"Aug 08, 2024",66.90,69.65,66.10,69.39,68.86
"Aug 07, 2024",68.69,69.86,64.70,64.91,64.41
"Aug 06, 2024",65.21,69.13,64.68,66.30,65.79
"Aug 05, 2024",62.21,67.01,61.71,64.53,64.04
"Aug 02, 2024",71.91,72.44,68.97,70.77,70.23
"Aug 01, 2024",79.10,80.06,73.50,75.01,74.44
"Jul 31, 2024",77.60,79.47,77.04,78.23,77.63
"Jul 30, 2024",76.54,76.98,73.30,74.74,74.17
"Jul 29, 2024",76.46,76.90,75.08,75.91,75.33
"Jul 26, 2024",74.95,76.96,74.63,75.84,75.26
"Jul 25, 2024",74.65,77.18,73.06,73.42,72.86
"Jul 24, 2024",77.93,78.09,74.23,74.64,74.07
"Jul 23, 2024",80.46,81.42,79.91,80.12,79.51
"Jul 22, 2024",79.83,80.79,78.98,80.54,79.92
"Jul 19, 2024",79.61,80.34,77.68,78.11,77.51
"Jul 18, 2024",82.40,82.84,78.85,79.79,79.18
"Jul 17, 2024",82.56,83.35,81.59,81.73,81.10
"Jul 16, 2024",84.47,85.48,84.12,85.37,84.72
"Jul 15, 2024",84.12,85.36,83.06,83.90,83.26
"Jul 12, 2024",82.21,84.87,82.05,83.22,82.58
"Jul 11, 2024",84.01,84.40,81.48,81.76,81.13
"Jul 10, 2024",82.11,84.13,81.98,83.92,83.28
"Jul 09, 2024",81.77,82.17,81.46,81.57,80.94
"Jul 08, 2024",81.48,81.80,80.89,81.37,80.75
"Jul 05, 2024",79.90,81.31,79.60,81.12,80.50
"Jul 03, 2024",78.63,79.97,78.62,79.78,79.17
"Jul 02, 2024",76.60,78.82,76.55,78.79,78.19
"Jul 01, 2024",77.42,77.51,76.11,77.28,76.69
"Jun 28, 2024",78.11,79.44,76.31,76.84,76.25
"Jun 27, 2024",77.41,78.10,77.10,77.82,77.22
"Jun 26, 2024",76.73,77.81,76.45,77.53,76.94
"Jun 25, 2024",77.12,77.63,76.47,77.44,76.63
"Jun 24, 2024",77.28,78.41,76.57,76.59,75.78
"Jun 21, 2024",77.35,77.88,76.78,77.20,76.39
"Jun 20, 2024",78.84,79.12,77.02,77.75,76.93
"Jun 18, 2024",77.89,78.51,77.71,78.44,77.61
"Jun 17, 2024",75.80,78.47,75.59,77.87,77.05
"Jun 14, 2024",75.34,76.13,74.89,76.08,75.28
"Jun 13, 2024",76.35,76.41,74.86,76.07,75.27
"Jun 12, 2024",75.73,76.75,75.19,75.60,74.80
"Jun 11, 2024",72.67,73.85,71.82,73.80,73.02
"Jun 10, 2024",72.30,73.45,72.05,73.30,72.53
"Jun 07, 2024",72.55,73.86,72.07,72.64,71.88
"Jun 06, 2024",73.17,73.33,72.21,72.99,72.22
"Jun 05, 2024",71.49,73.05,70.65,73.02,72.25
"Jun 04, 2024",69.80,70.85,69.17,70.52,69.78
"Jun 03, 2024",70.84,70.88,68.26,70.34,69.60
"May 31, 2024",68.70,70.26,66.65,70.17,69.43
"May 30, 2024",69.15,69.42,67.89,68.37,67.65
"May 29, 2024",69.61,70.29,69.51,69.80,69.07
"May 28, 2024",71.52,71.60,70.24,71.34,70.59
"May 24, 2024",70.59,71.53,70.18,71.21,70.46
"May 23, 2024",72.68,72.72,69.33,69.82,69.09
"May 22, 2024",71.85,72.13,70.60,71.48,70.73
"May 21, 2024",71.30,72.22,71.24,72.14,71.38
"May 20, 2024",71.45,72.27,71.29,71.65,70.90
"May 17, 2024",71.17,71.47,70.58,71.44,70.69
"May 16, 2024",71.64,72.30,71.10,71.16,70.41
"May 15, 2024",70.10,71.79,69.85,71.64,70.89
"May 14, 2024",68.26,69.33,68.04,69.11,68.38
"May 13, 2024",68.86,68.89,67.74,68.19,67.47
"May 10, 2024",68.58,68.92,67.72,68.23,67.51
"May 09, 2024",66.89,67.97,66.61,67.94,67.23
"May 08, 2024",66.12,67.08,66.08,66.86,66.16
"May 07, 2024",67.05,67.44,66.61,66.89,66.19
"May 06, 2024",65.63,66.69,65.45,66.69,65.99
"May 03, 2024",64.66,65.17,63.69,64.69,64.01
"May 02, 2024",62.09,62.70,60.39,62.37,61.71
"May 01, 2024",61.13,63.63,60.58,60.70,60.06
"Apr 30, 2024",63.84,64.25,61.39,61.40,60.75
"Apr 29, 2024",64.50,64.72,63.41,64.44,63.76
"Apr 26, 2024",63.10,64.41,62.87,63.82,63.15
"Apr 25, 2024",60.43,62.35,59.84,62.03,61.38
"Apr 24, 2024",63.29,63.56,62.00,62.88,62.22
"Apr 23, 2024",61.56,63.12,61.36,62.93,62.27
"Apr 22, 2024",60.15,61.78,59.28,60.75,60.11
"Apr 19, 2024",60.76,61.13,58.74,59.16,58.54
"Apr 18, 2024",61.73,62.52,60.47,60.78,60.14
"Apr 17, 2024",63.30,63.36,60.73,61.26,60.62
"Apr 16, 2024",62.92,63.50,61.90,62.37,61.71
"Apr 15, 2024",66.85,66.92,62.43,62.77,62.11
"Apr 12, 2024",66.62,67.19,64.54,65.20,64.51
"Apr 11, 2024",67.17,68.66,65.79,68.10,67.38
"Apr 10, 2024",66.38,67.45,65.84,66.68,65.98
"Apr 09, 2024",69.20,69.29,66.77,68.70,67.98
"Apr 08, 2024",68.70,69.10,68.19,68.46,67.74
"Apr 05, 2024",66.90,69.21,66.72,68.40,67.68
"Apr 04, 2024",70.54,70.68,66.25,66.34,65.64
"Apr 03, 2024",68.31,69.58,68.28,68.97,68.24
"Apr 02, 2024",68.53,68.82,67.82,68.77,68.05
"Apr 01, 2024",70.81,71.03,69.65,70.19,69.45
"Mar 28, 2024",70.59,71.15,70.43,70.55,69.81
"Mar 27, 2024",70.03,70.61,69.13,70.59,69.85
"Mar 26, 2024",69.94,70.07,68.77,68.84,68.12
"Mar 25, 2024",69.38,69.83,69.30,69.42,68.69
"Mar 22, 2024",70.33,70.54,69.88,70.01,69.27
"Mar 21, 2024",70.88,71.16,70.29,70.34,69.60
"Mar 20, 2024",67.94,69.83,67.64,69.75,69.02
"Mar 19, 2024",66.67,68.14,66.25,68.04,67.20
"Mar 18, 2024",67.36,67.95,66.74,66.92,66.10
"Mar 15, 2024",65.97,66.53,65.22,65.74,64.93
"Mar 14, 2024",68.02,68.06,65.97,67.20,66.37
"Mar 13, 2024",68.12,68.20,67.10,67.67,66.84
"Mar 12, 2024",66.74,68.25,65.73,68.03,67.19
"Mar 11, 2024",65.60,66.14,64.84,65.92,65.11
"Mar 08, 2024",67.62,68.69,65.89,66.14,65.33
